Node_ID,Main_Tag,Detailed_Tag
37861994,Generalista,Generalista_Puro
37864438,Media_Vinili,Puro_Media_Vinili
37886419,Generalista,Generalista
37905312,Generalista,Generalista
37908257,Generalista,Generalista
37911145,Multi_category,Multi_category_Gaming_Console_Action_Figure
37931060,Media_Vinili,Puro_Media_Vinili
37941443,Generalista,Debole_Action_Figure
37943491,Media_Vinili,Puro_Media_Vinili
37946391,Media_Vinili,Puro_Media_Vinili
37947387,Generalista,Debole_Action_Figure
37949456,Generalista,Debole_Moda_Lusso
37956513,Generalista,Debole_Action_Figure
37958908,Generalista,Generalista_Puro
37965307,Moda_Lusso,Puro_Moda_Lusso
37966459,Generalista,Debole_Tech_Elettronica
37995982,Generalista,Debole_Fumetti_Manga
38005451,Action_Figure,Puro_Action_Figure
38010396,Gaming_Console,Puro_Gaming_Console
38026763,Fumetti_Manga,Puro_Fumetti_Manga
38028303,Multi_category,Multi_category_Action_Figure_Fumetti_Manga
38030696,Generalista,Generalista
38038095,Generalista,Generalista
38038154,Generalista,Generalista
38042672,Generalista,Generalista
38048322,Generalista,Generalista
38051756,Generalista,Generalista
38052195,Generalista,Debole_Fumetti_Manga
38064377,Moda_Lusso,Puro_Moda_Lusso
38065743,Moda_Lusso,Puro_Moda_Lusso
38072690,Generalista,Generalista_Puro
38083223,Action_Figure,Puro_Action_Figure
38126549,Action_Figure,Puro_Action_Figure
38128743,Generalista,Generalista_Puro
38130234,Gaming_Console,Puro_Gaming_Console
38138934,Generalista,Debole_Carte_TCG
38155611,Generalista,Generalista
38162790,Generalista,Generalista
38174956,Moda_Lusso,Puro_Moda_Lusso
38175620,Generalista,Generalista
38187827,Moda_Lusso,Puro_Moda_Lusso
38192417,Action_Figure,Puro_Action_Figure
38203867,Action_Figure,Puro_Action_Figure
38208301,Generalista,Debole_Moda_Lusso
38209183,Moda_Lusso,Puro_Moda_Lusso
38219114,Action_Figure,Puro_Action_Figure
38222810,Multi_category,Multi_category_Action_Figure_Moda_Lusso
38226236,Generalista,Debole_Gaming_Console
38229881,Action_Figure,Puro_Action_Figure
38230504,Moda_Lusso,Puro_Moda_Lusso
38238860,Carte_TCG,Puro_Carte_TCG
38249703,Action_Figure,Puro_Action_Figure
38256301,Generalista,Generalista_Puro
38260579,Action_Figure,Puro_Action_Figure
38263832,Moda_Lusso,Puro_Moda_Lusso
38264234,Generalista,Generalista_Puro
38269236,Generalista,Generalista_Puro
